MedInc,HouseAge,AveRooms,AveBedrms,AveOccup,Price,Country
2.5633999999999997,24.0,3.0,3.0,3.5999999999999996,45780.0,Slovakia
2.5633999999999997,24.0,3.0,3.0,3.5999999999999996,45780.0,Slovakia
3.5347999999999997,24.0,1.0,1.0,1.2,116630.00000000001,Slovakia
3.5347999999999997,24.0,3.0,3.0,3.5999999999999996,114450.00000000001,Slovakia
2.5633999999999997,6.0,2.0,2.0,2.4,89380.0,Slovakia
3.5347999999999997,24.0,3.0,3.0,3.5999999999999996,111180.00000000001,Slovakia
3.5347999999999997,24.0,3.0,3.0,3.5999999999999996,140610.0,Slovakia
2.5633999999999997,24.0,2.0,2.0,2.4,103550.00000000001,Slovakia
2.5633999999999997,24.0,2.0,2.0,2.4,89380.0,Slovakia
2.5633999999999997,24.0,2.0,2.0,2.4,81641.0,Slovakia
2.5633999999999997,24.0,2.0,2.0,2.4,70741.0,Slovakia
2.5633999999999997,24.0,2.0,2.0,2.4,90470.0,Slovakia
2.5633999999999997,24.0,3.0,3.0,3.5999999999999996,105185.00000000001,Slovakia
2.5633999999999997,24.0,3.0,3.0,3.5999999999999996,90361.0,Slovakia
2.5633999999999997,24.0,2.0,2.0,2.4,73030.0,Slovakia
2.5633999999999997,24.0,1.0,1.0,1.2,52320.00000000001,Slovakia
2.5633999999999997,24.0,3.0,3.0,3.5999999999999996,87091.0,Slovakia
2.5633999999999997,24.0,2.0,2.0,2.4,71395.0,Slovakia
3.5347999999999997,24.0,3.0,3.0,3.5999999999999996,118810.00000000001,Slovakia
2.5633999999999997,24.0,3.0,3.0,3.5999999999999996,74120.0,Slovakia
2.5633999999999997,24.0,3.0,3.0,3.5999999999999996,102460.00000000001,Slovakia
2.5633999999999997,24.0,2.0,2.0,2.4,81739.1,Slovakia
2.5633999999999997,24.0,3.0,3.0,3.5999999999999996,96465.0,Slovakia
2.5633999999999997,24.0,4.0,4.0,4.8,100825.00000000001,Slovakia
2.5633999999999997,24.0,3.0,3.0,3.5999999999999996,92650.0,Slovakia
2.5633999999999997,24.0,3.0,3.0,3.5999999999999996,98600.31000000001,Slovakia
2.5633999999999997,24.0,3.0,3.0,3.5999999999999996,89271.0,Slovakia
2.5633999999999997,24.0,3.0,3.0,3.5999999999999996,89271.0,Slovakia
2.5633999999999997,24.0,3.0,3.0,3.5999999999999996,90361.0,Slovakia
2.5633999999999997,24.0,2.0,2.0,2.4,87091.0,Slovakia
3.5347999999999997,24.0,4.0,4.0,4.8,123170.00000000001,Slovakia
2.5633999999999997,24.0,2.0,2.0,2.4,65182.00000000001,Slovakia
2.5633999999999997,24.0,4.0,4.0,4.8,100280.00000000001,Slovakia
2.5633999999999997,24.0,2.0,2.0,2.4,91560.0,Slovakia
2.5633999999999997,24.0,4.0,4.0,4.8,100825.00000000001,Slovakia
4.74325,24.0,4.0,4.0,4.8,151510.0,Slovakia
3.5347999999999997,24.0,3.0,3.0,3.5999999999999996,125350.00000000001,Slovakia
2.5633999999999997,24.0,3.0,3.0,3.5999999999999996,81750.0,Slovakia
4.74325,24.0,3.0,3.0,3.5999999999999996,150420.0,Slovakia
3.5347999999999997,24.0,3.0,3.0,3.5999999999999996,130800.00000000001,Slovakia
2.5633999999999997,24.0,3.0,3.0,3.5999999999999996,79570.0,Slovakia
2.5633999999999997,24.0,3.0,3.0,3.5999999999999996,106820.00000000001,Slovakia
2.5633999999999997,24.0,2.0,2.0,2.4,85020.0,Slovakia
2.5633999999999997,24.0,4.0,4.0,4.8,104640.00000000001,Slovakia
2.5633999999999997,24.0,3.0,3.0,3.5999999999999996,101370.00000000001,Slovakia
2.5633999999999997,24.0,3.0,3.0,3.5999999999999996,106820.00000000001,Slovakia
2.5633999999999997,24.0,1.0,1.0,1.2,76191.0,Slovakia
2.5633999999999997,24.0,1.0,1.0,1.2,72385.81000000001,Slovakia
2.5633999999999997,24.0,1.0,1.0,1.2,71940.0,Slovakia
2.5633999999999997,24.0,3.0,3.0,3.5999999999999996,103550.00000000001,Slovakia
2.5633999999999997,24.0,3.0,3.0,3.5999999999999996,106820.00000000001,Slovakia
2.5633999999999997,24.0,2.0,2.0,2.4,105730.00000000001,Slovakia
2.5633999999999997,24.0,3.0,3.0,3.5999999999999996,90470.0,Slovakia
2.5633999999999997,24.0,1.0,1.0,1.2,75101.0,Slovakia
2.5633999999999997,24.0,2.0,2.0,2.4,94819.1,Slovakia
2.5633999999999997,24.0,3.0,3.0,3.5999999999999996,92650.0,Slovakia
3.5347999999999997,24.0,3.0,3.0,3.5999999999999996,144959.1,Slovakia
3.5347999999999997,3.0,3.0,3.0,3.5999999999999996,140610.0,Slovakia
3.5347999999999997,24.0,4.0,4.0,4.8,122080.00000000001,Slovakia
4.74325,24.0,3.0,3.0,3.5999999999999996,166770.0,Slovakia
4.74325,24.0,3.0,3.0,3.5999999999999996,150420.0,Slovakia
4.74325,24.0,3.0,3.0,3.5999999999999996,150420.0,Slovakia
4.74325,24.0,3.0,3.0,3.5999999999999996,166770.0,Slovakia
4.74325,24.0,4.0,4.0,4.8,190750.0,Slovakia
2.5633999999999997,24.0,3.0,3.0,3.5999999999999996,47415.0,Slovakia
2.5633999999999997,24.0,3.0,3.0,3.5999999999999996,43491.0,Slovakia
2.5633999999999997,24.0,3.0,3.0,3.5999999999999996,68670.0,Slovakia
2.5633999999999997,24.0,3.0,3.0,3.5999999999999996,43491.0,Slovakia
3.5347999999999997,24.0,3.0,3.0,3.5999999999999996,122080.00000000001,Slovakia
3.5347999999999997,24.0,3.0,3.0,3.5999999999999996,114341.00000000001,Slovakia
3.5347999999999997,24.0,3.0,3.0,3.5999999999999996,144861.0,Slovakia
3.5347999999999997,24.0,3.0,3.0,3.5999999999999996,114450.00000000001,Slovakia
2.5633999999999997,24.0,3.0,3.0,3.5999999999999996,107910.00000000001,Slovakia
2.5633999999999997,24.0,3.0,3.0,3.5999999999999996,103550.00000000001,Slovakia
2.5633999999999997,24.0,3.0,3.0,3.5999999999999996,103550.00000000001,Slovakia
2.5633999999999997,24.0,1.0,1.0,1.2,76191.0,Slovakia
2.5633999999999997,24.0,2.0,2.0,2.4,103441.00000000001,Slovakia
4.74325,24.0,3.0,3.0,3.5999999999999996,150311.0,Slovakia
3.5347999999999997,24.0,3.0,3.0,3.5999999999999996,136250.0,Slovakia
3.5347999999999997,24.0,3.0,3.0,3.5999999999999996,144970.0,Slovakia
3.5347999999999997,24.0,3.0,3.0,3.5999999999999996,118265.00000000001,Slovakia
2.5633999999999997,1.0,1.0,1.0,1.2,81205.0,Slovakia
2.5633999999999997,24.0,4.0,4.0,4.8,106820.00000000001,Slovakia
3.5347999999999997,24.0,3.0,3.0,3.5999999999999996,119900.00000000001,Slovakia
2.5633999999999997,24.0,3.0,3.0,3.5999999999999996,107910.00000000001,Slovakia
2.5633999999999997,24.0,1.0,1.0,1.2,78480.0,Slovakia
3.5347999999999997,1.0,2.0,2.0,2.4,123170.00000000001,Slovakia
2.5633999999999997,24.0,2.0,2.0,2.4,107910.00000000001,Slovakia
2.5633999999999997,24.0,1.0,1.0,1.2,78480.0,Slovakia
2.5633999999999997,24.0,2.0,2.0,2.4,97010.0,Slovakia
3.5347999999999997,24.0,3.0,3.0,3.5999999999999996,114450.00000000001,Slovakia
2.5633999999999997,24.0,3.0,3.0,3.5999999999999996,103550.00000000001,Slovakia
2.5633999999999997,24.0,3.0,3.0,3.5999999999999996,90470.0,Slovakia
3.5347999999999997,8.0,3.0,3.0,3.5999999999999996,123170.00000000001,Slovakia
4.74325,24.0,3.0,3.0,3.5999999999999996,166770.0,Slovakia
4.74325,24.0,3.0,3.0,3.5999999999999996,150420.0,Slovakia
3.5347999999999997,24.0,2.0,2.0,2.4,119900.00000000001,Slovakia
2.5633999999999997,24.0,2.0,2.0,2.4,106820.00000000001,Slovakia
3.5347999999999997,24.0,3.0,3.0,3.5999999999999996,116630.00000000001,Slovakia
3.5347999999999997,24.0,3.0,3.0,3.5999999999999996,125241.00000000001,Slovakia
2.5633999999999997,24.0,3.0,3.0,3.5999999999999996,73030.0,Slovakia
3.5347999999999997,24.0,3.0,3.0,3.5999999999999996,116630.00000000001,Slovakia
2.5633999999999997,24.0,3.0,3.0,3.5999999999999996,106275.00000000001,Slovakia
2.5633999999999997,24.0,2.0,2.0,2.4,103441.00000000001,Slovakia
3.5347999999999997,24.0,3.0,3.0,3.5999999999999996,136250.0,Slovakia
2.5633999999999997,24.0,4.0,4.0,4.8,106820.00000000001,Slovakia
3.5347999999999997,24.0,3.0,3.0,3.5999999999999996,115213.00000000001,Slovakia
4.74325,24.0,3.0,3.0,3.5999999999999996,163173.0,Slovakia
3.5347999999999997,24.0,3.0,3.0,3.5999999999999996,113360.00000000001,Slovakia
2.5633999999999997,24.0,2.0,2.0,2.4,101370.00000000001,Slovakia
2.5633999999999997,24.0,2.0,2.0,2.4,107910.00000000001,Slovakia
2.5633999999999997,8.0,2.0,2.0,2.4,100280.00000000001,Slovakia
3.5347999999999997,24.0,3.0,3.0,3.5999999999999996,115529.1,Slovakia
3.5347999999999997,24.0,3.0,3.0,3.5999999999999996,130691.00000000001,Slovakia
4.74325,24.0,3.0,3.0,3.5999999999999996,166770.0,Slovakia
